Gene	Stage
HMGB2	Prog
SKIV2L2	Prog
UBE2E2	Prog
HRAS	Prog
PARVA	Prog
SFN	Prog
CHKA	Prog
CSTF3	Prog
METAP1	Prog
CBX1	Prog
IGF2BP3	Prog
LBP	Prog
GSS	Prog
PACSIN2	Prog
PLEKHA5	Prog
SPATS2	Prog
ANAPC4	Prog
RBFA	Prog
SLC4A2	Prog
TAF12	Prog
CXADR	Prog
CYR61	Prog
KLF7	Prog
NELFCD	Prog
SLC9B2	Prog
YRDC	Prog
GNG10	Prog
HPCAL1	Prog
MED19	Prog
ELP3	Prog
PDPK1	Prog
PEG3	Prog
C9ORF16	Prog
CCDC93	Prog
ECE2	Prog
VIL1	Prog
CDC42EP1	Prog
OXT	Prog
TIPARP	Prog
TWISTNB	Prog
ABCC6	Prog
BAG5	Prog
BICC1	Prog
HSPB8	Prog
METTL3	Prog
OSMR	Prog
UBA3	Prog
GDF15	Prog
PDCD11	Prog
RRAS	Prog
TOMM34	Prog
MBIP	Prog
RNFT1	Prog
RRP12	Prog
TP53RK	Prog
KANSL3	Prog
OAS1	Prog
PPARG	Prog
SBNO1	Prog
MRRF	Prog
PLEK2	Prog
TMEM141	Prog
AIFM2	Prog
AP3M1	Prog
EHD1	Prog
GLIPR1	Prog
ZDHHC12	Prog
DLG1	Prog
MFN1	Prog
TMED1	Prog
ANAPC10	Prog
EHMT1	Prog
SURF2	Prog
TAF1B	Prog
C5ORF51	Prog
COBL	Prog
PSMG4	Prog
PTPLA	Prog
SLC4A7	Prog
TSR1	Prog
DHX8	Prog
PEG10	Prog
RP11-544M22.13	Prog
SRCAP	Prog
TTC9C	Prog
ZNF480	Prog
ADD3	Prog
C12ORF10	Prog
F3	Prog
HMGCR	Prog
ME1	Prog
QPCT	Prog
RRAD	Prog
COQ10B	Prog
NOB1	Prog
SFT2D2	Prog
TRIM13	Prog
ARID3A	Prog
SDF4	Prog
ZNF195	Prog
HSD3B7	Prog
PRH1	Prog
CSF3R	Prog
FHL3	Prog
ITGA2	Prog
KRT19	Prog
PNMA1	Prog
MAD2L2	Prog
MAEA	Prog
05-Mar	Prog
RBM33	Prog
DHRS7B	Prog
ACOT7	Prog
FTSJ3	Prog
HEATR1	Prog
PDLIM4	Prog
SFXN4	Prog
VASP	Prog
C7ORF49	Prog
MSL3	Prog
PLD3	Prog
SERPINE2	Prog
SUCLA2	Prog
ACTN4	Prog
ANXA8	Prog
ASNS	Prog
HBM	Prog
THOC6	Prog
CDK10	Prog
DYRK4	Prog
FNDC4	Prog
TMCO3	Prog
CHD7	Prog
DESI2	Prog
FASTKD5	Prog
IL1R2	Prog
IRAK1	Prog
KCTD9	Prog
GRAMD1A	Prog
MDP1	Prog
SDF2L1	Prog
SESTD1	Prog
ABHD3	Prog
AP1M1	Prog
HGS	Prog
SCAMP1	Prog
SMAD7	Prog
CCDC107	Prog
MAK16	Prog
ABI2	Prog
IFI35	Prog
PPP1R8	Prog
ZMAT5	Prog
NCSTN	Prog
PARP12	Prog
TNFRSF1A	Prog
WDR33	Prog
DDA1	Prog
DNAAF1	Prog
MYL9	Prog
NDN	Prog
LTN1	Prog
PRMT5	Prog
RASA2	Prog
VTI1A	Prog
ATP6V1G2-DDX39B	Prog
CFAP36	Prog
COL5A2	Prog
ERC1	Prog
SEC16A	Prog
TNFAIP3	Prog
ZNF326	Prog
LAD1	Prog
LRRC61	Prog
PIGL	Prog
DDX49	Prog
DENND5A	Prog
ELAC2	Prog
FXYD1	Prog
STXBP4	Prog
DSC2	Prog
MEF2A	Prog
QTRTD1	Prog
TUSC3	Prog
ATG4A	Prog
BEX1	Prog
IFI27L2	Prog
PINX1	Prog
CASK	Prog
HIST1H4J	Prog
MED21	Prog
EPCAM	Prog
GIPC1	Prog
LRPAP1	Prog
YAE1D1	Prog
ARFIP2	Prog
PLBD2	Prog
GPATCH8	Prog
KLC1	Prog
PCGF5	Prog
SYNJ2	Prog
ZNF91	Prog
FAM127C	Prog
RAB3GAP2	Prog
TEFM	Prog
CSF1	Prog
GTF2IRD2B	Prog
LAMC1	Prog
XPO5	Prog
ADH1B	Hep
CYP2C9	Hep
HSD17B6	Hep
ITIH4	Hep
C9	Hep
CES1	Hep
HRG	Hep
KNG1	Hep
HPR	Hep
GC	Hep
PLG	Hep
CYP2C8	Hep
APCS	Hep
ALDH6A1	Hep
ADH1C	Hep
APOC1	Hep
HMGCS2	Hep
AKR1C4	Hep
ALDOB	Hep
ACSM2A	Hep
CYP2E1	Hep
SLC22A1	Hep
TAT	Hep
ADH4	Hep
CAT	Hep
FMO3	Hep
CP	Hep
APOC4	Hep
C4BPA	Hep
ACSM2B	Hep
GSTA1	Hep
TF	Hep
ADH1A	Hep
SULT2A1	Hep
CYP2A6	Hep
IGF1	Hep
UGT2B10	Hep
NNMT	Hep
PCK1	Hep
FGA	Hep
UGT2B15	Hep
CYP3A4	Hep
CCDC152	Hep
HSD11B1	Hep
C1S	Hep
C3	Hep
RDH16	Hep
CRP	Hep
ARG1	Hep
LEAP2	Hep
CFHR2	Hep
GSTA2	Hep
AFM	Hep
AOX1	Hep
CYP2B6	Hep
AZGP1	Hep
ANG	Hep
HSD17B13	Hep
GLYAT	Hep
PON1	Hep
SLC2A2	Hep
A2M	Hep
CFHR3	Hep
CFHR4	Hep
PLGLB1	Hep
AQP9	Hep
CPS1	Hep
METTL7A	Hep
F9	Hep
PAH	Hep
ACSM5	Hep
PLGLB2	Hep
ACAT1	Hep
ALDH2	Hep
FMO5	Hep
HP	Hep
FBP1	Hep
HAO1	Hep
BHMT	Hep
C1R	Hep
AGXT	Hep
HRSP12	Hep
CFHR5	Hep
DCXR	Hep
APOF	Hep
CYP8B1	Hep
MAT1A	Hep
CYP4A11	Hep
DPYS	Hep
SLC10A1	Hep
GATM	Hep
PBLD	Hep
PDK4	Hep
CMBL	Hep
HAMP	Hep
C8G	Hep
C6	Hep
EHHADH	Hep
G6PC	Hep
BAAT	Hep
C4BPB	Hep
SAA1	Hep
SEPP1	Hep
CYP4A22	Hep
ADH6	Hep
ANXA10	Hep
C8A	Hep
C5	Hep
CALR	Hep
APOA5	Hep
AKR1D1	Hep
LRG1	Hep
ST6GAL1	Hep
CYP3A5	Hep
TFR2	Hep
PIPOX	Hep
GHR	Hep
SLC38A4	Hep
CCL16	Hep
HFE2	Hep
TTPA	Hep
SLCO1B1	Hep
GLYATL1	Hep
ACSL1	Hep
LPA	Hep
UGT2B7	Hep
ABAT	Hep
ALDH1B1	Hep
AR	Hep
ACADSB	Hep
ALDH1L1	Hep
TXNIP	Hep
A1BG	Hep
HAO2	Hep
NADK2	Hep
PHYH	Hep
CD81	Hep
KHK	Hep
CREG1	Hep
DHTKD1	Hep
HPGD	Hep
IGFBP1	Hep
SDC1	Hep
SERPIND1	Hep
FTCD	Hep
CYP2C18	Hep
CDO1	Hep
MBL2	Hep
SLC13A5	Hep
NFIB	Hep
SLC22A10	Hep
CPEB3	Hep
ITIH3	Hep
CYP4F2	Hep
UPB1	Hep
CPB2	Hep
PRG4	Hep
MUT	Hep
KLKB1	Hep
KLF9	Hep
CYP2C19	Hep
UBE2Q2	Hep
B4GALT1	Hep
SLC22A7	Hep
SLC27A2	Hep
SLC27A5	Hep
SULT1A1	Hep
CD302	Hep
DUSP10	Hep
